ip,app,total_clicks,click_time_range
114000,2,1,0
10238,28,1,0
67658,25,1,0
25071,15,2,1043
185269,3,1,0
13886,3,2,1200
19010,12,1,0
116288,15,1,0
193100,15,1,0
11073,21,1,0
111739,2,1,0
90518,25,1,0
78133,20,1,0
114655,15,2,870
75520,9,1,0
310512,14,1,0
60752,12,1,0
27159,18,1,0
92350,45,1,0
180393,3,1,0
106458,18,1,0
152075,21,1,0
100929,1,2,2604
48383,9,1,0
72851,12,1,0
180423,15,1,0
63172,18,1,0
329481,96,1,0
223955,19,1,0
140217,25,1,0
291725,19,1,0
119885,3,1,0
209423,2,1,0
48587,12,1,0
112302,2,1,0
6298,15,1,0
96313,20,1,0
106944,3,1,0
53964,14,1,0
123749,8,1,0
173699,18,1,0
66240,62,1,0
211436,8,1,0
110176,14,1,0
49599,11,1,0
48004,15,1,0
169681,12,1,0
91607,2,2,622
90493,14,1,0
162757,10,1,0
55030,21,1,0
113010,9,1,0
85067,6,1,0
73339,3,1,0
85150,22,1,0
109135,35,1,0
25110,18,1,0
12607,15,1,0
200019,5,1,0
126940,19,1,0
24915,9,1,0
96616,3,1,0
255717,3,1,0
136512,2,1,0
206025,46,1,0
117193,3,1,0
69321,18,1,0
218197,26,1,0
71238,9,1,0
67708,14,1,0
245985,2,1,0
13885,3,1,0
15843,82,1,0
124267,2,2,1013
5011,3,1,0
189869,3,1,0
37801,35,1,0
8718,18,4,3003
5493,2,1,0
34929,11,1,0
211483,19,1,0
5503,13,1,0
203142,3,1,0
141685,12,1,0
236624,15,1,0
43000,21,1,0
67291,15,1,0
221485,3,1,0
105587,13,1,0
14611,1,1,0
100494,3,1,0
129447,19,1,0
49107,3,2,643
196373,15,1,0
37652,45,1,0
77494,10,1,0
56988,13,1,0
49602,7,1,0
14116,12,1,0
119395,12,1,0
84991,18,1,0
80416,64,1,0
343500,17,1,0
83604,3,1,0
41584,18,1,0
18088,3,1,0
53454,2,15,3373
91186,18,1,0
77077,35,1,0
2761,2,1,0
255801,3,1,0
58434,3,3,2899
29267,18,1,0
2600,23,1,0
264532,12,1,0
56895,3,1,0
120112,15,2,1219
181699,10,1,0
44465,9,1,0
3797,22,1,0
51562,2,1,0
71483,14,1,0
75825,12,1,0
105811,18,2,208
33473,12,1,0
4548,18,1,0
28739,15,1,0
153953,15,1,0
90586,3,1,0
81245,3,1,0
42297,2,1,0
45416,26,1,0
304625,19,1,0
98766,10,1,0
28012,1,1,0
32130,18,1,0
197910,15,1,0
137103,29,1,0
298847,19,1,0
95663,3,2,2739
25315,3,1,0
8720,15,1,0
59233,18,1,0
221291,19,1,0
348944,5,1,0
44366,2,1,0
44067,3,6,2900
323205,10,1,0
335182,19,1,0
74221,3,1,0
118315,26,1,0
121352,14,1,0
56559,20,1,0
29171,3,1,0
150646,14,1,0
36052,12,1,0
294733,29,1,0
71178,2,1,0
21911,11,1,0
74100,12,1,0
115634,3,1,0
97014,3,1,0
65579,35,1,0
73248,538,1,0
56304,2,1,0
58431,3,3,2770
31518,11,1,0
105429,12,1,0
105292,9,1,0
202923,3,1,0
115681,18,1,0
11450,3,3,1976
116642,15,1,0
338518,15,1,0
48296,15,1,0
114461,3,1,0
156286,10,1,0
43409,1,1,0
84774,26,1,0
97766,18,1,0
158663,18,1,0
110042,14,1,0
43321,15,1,0
41848,2,1,0
41838,35,1,0
152323,1,1,0
148507,15,1,0
4806,3,1,0
150129,9,1,0
174510,18,1,0
52406,19,1,0
50276,3,2,1620
178457,8,1,0
175837,18,2,2079
114418,20,1,0
111153,7,1,0
286972,5,1,0
91712,24,2,1650
89596,14,1,0
35687,9,1,0
3399,3,1,0
44590,21,1,0
151125,18,1,0
207166,2,1,0
110032,8,1,0
243973,1,1,0
233344,39,1,0
209485,12,1,0
178149,3,1,0
263959,3,1,0
52043,15,1,0
57154,9,1,0
101363,23,1,0
255466,29,1,0
211747,9,1,0
6884,12,2,690
77940,3,1,0
87879,15,2,982
8720,13,1,0
29151,3,1,0
38185,9,2,2183
42965,35,1,0
101564,18,2,1309
345433,3,1,0
108111,18,1,0
291401,19,1,0
118311,12,1,0
254593,2,1,0
67267,12,1,0
144862,2,1,0
59967,35,1,0
208776,3,1,0
98476,24,1,0
145082,19,1,0
119050,18,1,0
112005,8,1,0
98412,9,1,0
60556,8,1,0
171732,3,1,0
110174,12,3,1760
86231,11,1,0
337060,108,1,0
318277,9,1,0
124686,29,1,0
26814,21,1,0
56854,35,1,0
336674,5,1,0
17380,3,2,1911
41232,15,2,427
65826,12,1,0
74834,3,1,0
102264,9,1,0
46695,2,2,799
184794,20,1,0
235166,3,1,0
78787,8,1,0
119893,15,1,0
64079,18,1,0
182526,3,1,0
108015,12,1,0
42089,18,1,0
259999,15,1,0
103411,3,1,0
37233,15,4,2124
16464,20,1,0
100584,15,1,0
338023,29,1,0
345998,7,1,0
15517,3,1,0
105587,3,3,3009
37002,11,1,0
126906,12,1,0
59470,26,1,0
203527,84,1,0
26332,3,1,0
118145,26,1,0
358406,12,1,0
301715,19,1,0
82964,18,1,0
15171,13,1,0
119734,20,1,0
87696,35,1,0
7709,9,1,0
278992,1,1,0
230530,12,1,0
7615,9,1,0
33937,14,1,0
109310,9,1,0
19537,9,1,0
251957,9,1,0
101334,9,1,0
115007,3,1,0
121837,12,1,0
73774,3,1,0
39784,25,1,0
66507,3,1,0
191759,14,1,0
39958,23,1,0
88290,2,1,0
29489,1,2,2234
80416,3,1,0
110707,14,1,0
44312,2,1,0
36150,12,1,0
211806,5,1,0
56370,19,1,0
38998,18,1,0
108650,26,1,0
7048,11,1,0
31783,18,1,0
40371,3,1,0
142432,15,1,0
31472,12,1,0
30040,12,1,0
291191,7,1,0
89182,10,1,0
122998,15,1,0
44488,18,3,1754
118315,88,1,0
363732,19,1,0
61381,3,1,0
1534,14,1,0
181913,15,1,0
120629,9,1,0
110382,12,1,0
5064,9,1,0
56298,12,1,0
5178,18,1,0
122346,2,2,2653
79874,14,1,0
75589,19,1,0
44479,107,1,0
204927,12,1,0
91104,15,1,0
67450,3,2,2011
319192,130,1,0
80288,12,1,0
55028,14,1,0
99803,14,1,0
52672,23,1,0
17975,1,1,0
39109,18,1,0
169741,12,2,2470
221339,12,1,0
42056,12,1,0
21627,2,1,0
177594,72,1,0
86105,18,1,0
79808,14,1,0
291143,7,1,0
60428,3,1,0
284702,19,1,0
101277,3,1,0
100491,2,1,0
156386,9,1,0
15800,15,1,0
40561,11,1,0
176976,9,1,0
102235,23,1,0
85723,13,1,0
315997,45,1,0
25128,19,1,0
66184,9,1,0
196428,19,1,0
66254,3,1,0
85660,2,1,0
101550,26,1,0
122377,2,2,2108
97565,3,1,0
118894,18,1,0
305946,19,1,0
103124,15,1,0
124098,35,1,0
129646,66,1,0
251358,10,1,0
85120,1,1,0
109682,3,1,0
10347,2,1,0
106511,24,1,0
121938,2,1,0
182398,12,1,0
292827,3,1,0
50565,3,1,0
15957,18,1,0
14084,3,1,0
75260,9,1,0
185003,12,1,0
166071,3,1,0
74596,3,1,0
107986,9,1,0
29042,66,1,0
32403,18,1,0
86926,35,1,0
84774,6,1,0
67628,12,2,73
14074,21,1,0
266940,29,1,0
308301,19,1,0
80000,3,1,0
35973,55,1,0
88358,20,1,0
340792,19,1,0
12548,2,1,0
76932,19,1,0
292029,39,1,0
13608,9,1,0
181918,5,1,0
7371,18,1,0
172914,2,1,0
180710,3,1,0
361443,19,1,0
88162,14,1,0
24860,12,1,0
23000,12,1,0
283620,27,1,0
132550,15,1,0
27868,20,1,0
78621,14,1,0
236203,45,1,0
14764,14,1,0
138669,44,1,0
122987,10,1,0
75912,35,1,0
338860,9,1,0
71046,23,1,0
55048,3,1,0
62094,3,3,460
39328,22,1,0
66258,2,1,0
72561,2,1,0
78447,26,1,0
78638,12,1,0
148486,27,1,0
287962,29,1,0
48221,13,1,0
101690,15,1,0
100654,14,1,0
73008,3,1,0
44327,9,1,0
12625,12,1,0
237946,19,1,0
108015,2,1,0
358230,9,1,0
212086,3,1,0
275650,11,1,0
107274,21,1,0
118123,14,1,0
182563,9,1,0
68578,18,1,0
195729,9,1,0
307883,29,1,0
95145,66,1,0
229433,19,1,0
44615,29,1,0
90349,14,1,0
163448,18,1,0
135992,13,1,0
75463,13,1,0
349586,13,1,0
9889,3,1,0
171960,35,1,0
106406,2,1,0
2180,1,1,0
69886,3,2,610
8536,12,2,348
73305,26,2,604
115902,15,2,26
70474,3,4,836
209869,15,1,0
93003,13,1,0
125527,3,1,0
5524,3,1,0
7308,21,1,0
64518,19,1,0
14751,2,1,0
121247,12,1,0
111348,18,1,0
37813,15,1,0
52108,2,1,0
86466,21,1,0
70233,3,1,0
118031,3,1,0
76919,3,1,0
80223,9,1,0
108599,3,1,0
95766,13,2,1616
37738,26,1,0
62129,14,1,0
22268,2,1,0
288636,82,1,0
66218,8,1,0
108771,3,2,1445
65152,22,1,0
84205,3,2,1206
89661,2,1,0
37427,3,1,0
163636,2,1,0
13688,10,1,0
73043,18,1,0
39306,35,1,0
100009,19,1,0
40292,2,1,0
189088,2,2,2419
170466,12,1,0
199066,13,1,0
167827,19,1,0
201936,18,1,0
112775,18,1,0
26619,2,1,0
37813,14,2,522
97444,14,1,0
50364,9,1,0
123871,15,2,280
44494,19,1,0
154986,19,1,0
8710,25,1,0
56139,18,1,0
125435,3,1,0
112026,3,1,0
117595,18,1,0
286432,19,1,0
206226,10,1,0
2332,25,1,0
94087,3,1,0
358282,18,1,0
125312,35,2,708
321785,11,1,0
210598,2,1,0
36290,3,1,0
23620,15,1,0
55930,35,1,0
5348,5,1,0
4988,21,1,0
108463,8,1,0
45401,2,1,0
14871,35,1,0
283829,45,1,0
15851,3,1,0
353818,2,1,0
47280,19,1,0
2544,9,1,0
160940,12,1,0
48934,9,1,0
125205,22,1,0
120855,20,1,0
250653,5,1,0
63262,2,1,0
15983,12,1,0
95340,12,1,0
180800,19,1,0
273990,2,1,0
125233,64,1,0
205759,15,1,0
21097,13,1,0
89489,13,1,0
345973,2,1,0
111896,3,1,0
111162,3,1,0
185234,15,1,0
22699,18,1,0
182970,9,1,0
109504,18,1,0
129342,3,1,0
100224,150,1,0
73839,9,5,3602
301055,10,1,0
5270,26,1,0
93445,14,1,0
218868,18,1,0
274765,15,1,0
37767,12,1,0
18007,3,1,0
93620,9,2,3347
107869,3,1,0
206702,16,1,0
738,14,1,0
66112,2,1,0
47173,9,1,0
338021,15,1,0
291747,19,1,0
89909,19,1,0
112308,12,1,0
46401,8,1,0
221673,14,1,0
148952,14,1,0
18655,1,1,0
1003,3,1,0
125446,21,1,0
11616,3,1,0
1165,1,1,0
107759,35,1,0
58642,3,1,0
41313,18,2,220
307568,2,1,0
79678,2,2,1848
13974,8,1,0
220613,3,1,0
76921,9,1,0
301130,3,1,0
3133,18,2,124
354694,15,1,0
13746,2,1,0
34520,18,1,0
42250,23,1,0
40245,18,3,942
275670,19,1,0
10239,9,1,0
123908,14,1,0
41094,14,1,0
65916,18,1,0
177197,12,1,0
96063,25,1,0
187337,15,1,0
287916,12,1,0
33012,18,2,2669
55000,22,1,0
119338,10,1,0
50772,2,1,0
328878,2,1,0
11645,3,1,0
213350,1,1,0
53806,3,1,0
173324,12,1,0
105215,3,2,2227
40764,18,2,3
127203,8,1,0
16261,8,2,1452
46669,12,1,0
80305,12,1,0
93869,2,1,0
103616,8,1,0
74515,3,2,129
46274,9,1,0
46331,1,1,0
168447,15,1,0
84644,19,3,2970
345366,70,1,0
284173,19,1,0
83280,12,2,2290
104392,15,1,0
15225,14,1,0
40056,3,1,0
78108,2,1,0
75912,3,2,611
115733,6,1,0
147845,15,1,0
39064,12,1,0
124724,1,1,0
75489,39,1,0
114985,14,1,0
164255,2,1,0
88217,10,1,0
58700,9,1,0
36150,24,1,0
56035,3,2,2375
26337,18,1,0
68328,11,1,0
135532,2,1,0
2180,3,1,0
69017,23,1,0
82018,24,1,0
109679,23,1,0
56075,21,1,0
49602,12,9,3002
285892,15,1,0
59693,3,1,0
256651,27,1,0
83690,11,1,0
160543,3,1,0
143940,2,1,0
217797,21,1,0
65302,3,1,0
112885,36,1,0
67614,2,1,0
70170,2,1,0
7393,3,1,0
236294,3,1,0
31441,26,1,0
81522,12,1,0
47290,9,1,0
113357,9,1,0
64739,1,1,0
80372,19,1,0
55690,10,1,0
108816,3,1,0
92238,3,1,0
80372,2,1,0
77346,3,1,0
151921,2,1,0
181925,10,1,0
28739,3,3,2616
42481,3,1,0
163478,8,1,0
82843,6,2,2602
35753,18,2,187
18089,3,1,0
118311,3,2,525
69469,2,2,1000
342590,29,1,0
48176,3,2,1146
111191,28,1,0
21654,2,1,0
77733,15,1,0
12192,18,1,0
128041,3,1,0
172828,5,1,0
90811,537,1,0
26298,7,1,0
55482,12,2,42
219771,12,1,0
112255,3,1,0
28253,9,1,0
93739,10,1,0
67776,2,1,0
37919,2,2,1546
179519,35,1,0
27646,9,1,0
198405,1,1,0
11829,3,1,0
27639,19,1,0
254568,9,1,0
202890,23,1,0
10456,9,1,0
297774,45,1,0
130690,18,1,0
118475,1,1,0
240142,2,1,0
154390,10,1,0
121277,14,1,0
108386,3,3,2191
42019,12,1,0
358413,19,1,0
305071,3,1,0
60559,6,1,0
350772,72,1,0
26961,3,1,0
23416,18,1,0
283083,108,1,0
107777,18,1,0
21911,14,1,0
124832,1,1,0
64491,18,1,0
89715,2,1,0
39611,23,1,0
327166,3,1,0
24847,12,1,0
184176,12,1,0
124392,3,1,0
125371,19,1,0
51945,19,1,0
79054,23,1,0
336208,29,1,0
276334,12,1,0
90284,15,1,0
175490,9,1,0
11911,19,1,0
126042,18,1,0
64137,35,1,0
115172,1,1,0
121848,18,1,0
93266,2,1,0
281479,17,1,0
43827,6,1,0
119238,15,2,950
33697,18,1,0
54418,9,1,0
29412,21,1,0
26995,12,8,2515
190562,3,1,0
203364,9,1,0
109398,9,1,0
48413,2,1,0
38185,1,1,0
100131,1,1,0
111805,2,4,2931
124445,11,1,0
124295,14,1,0
1235,18,1,0
67407,3,1,0
269094,19,1,0
200838,2,2,473
103802,11,1,0
93620,12,1,0
50296,3,1,0
3239,18,1,0
6414,9,1,0
1313,3,1,0
35374,3,1,0
79875,3,1,0
162397,10,1,0
308293,107,1,0
261036,9,1,0
112490,9,2,432
5393,20,1,0
12284,9,1,0
17077,18,1,0
100275,20,2,2093
64049,14,1,0
66976,12,1,0
37855,3,1,0
57317,9,1,0
34097,3,1,0
72287,13,1,0
89916,2,1,0
141849,2,2,147
54716,9,1,0
55929,17,1,0
413,12,1,0
237126,29,1,0
103136,18,1,0
68362,12,1,0
7962,2,1,0
100819,1,1,0
53617,32,1,0
210782,29,1,0
123703,3,2,4056
209738,9,1,0
111969,12,2,2502
37351,13,1,0
189270,15,1,0
58570,3,2,1848
78903,12,1,0
124519,2,1,0
4324,3,1,0
123917,18,1,0
83257,3,1,0
223622,19,1,0
270573,20,1,0
91247,29,1,0
35984,13,1,0
256906,10,1,0
305013,9,1,0
7021,3,2,2263
306704,12,1,0
360754,21,1,0
119848,3,2,1744
34738,2,1,0
4784,14,2,624
78959,1,1,0
131823,12,1,0
97818,2,1,0
241196,9,1,0
37218,18,1,0
113654,35,1,0
108956,18,1,0
55725,9,1,0
247944,2,1,0
15035,15,1,0
17717,12,1,0
109231,12,1,0
107962,14,1,0
68587,28,1,0
11889,18,1,0
45529,11,1,0
80212,19,1,0
200085,23,1,0
82161,11,1,0
205765,1,1,0
229727,29,1,0
81548,35,1,0
2805,9,2,3892
116378,23,1,0
13169,2,1,0
121455,9,1,0
35815,12,2,1754
86947,3,1,0
148363,2,1,0
33808,35,1,0
66692,12,1,0
77285,9,1,0
124936,15,1,0
17814,21,1,0
78476,3,1,0
137193,24,1,0
40631,36,1,0
88281,18,7,1828
100971,18,1,0
172143,10,1,0
14374,18,1,0
99754,15,2,1414
11149,15,1,0
77233,35,1,0
52818,13,1,0
20112,15,1,0
25152,12,1,0
38467,2,1,0
120361,15,1,0
110269,15,1,0
102800,20,1,0
76822,35,1,0
343262,19,1,0
55595,21,1,0
126767,12,1,0
20835,12,1,0
14863,12,1,0
33908,65,1,0
52424,19,1,0
50512,18,1,0
39087,35,1,0
73671,29,1,0
224932,72,1,0
124897,3,2,439
11110,15,1,0
178858,9,1,0
114720,15,1,0
78896,2,1,0
362489,51,1,0
48581,1,1,0
48240,23,1,0
292387,14,1,0
34456,15,1,0
105154,13,1,0
275150,15,1,0
159800,29,1,0
140258,27,1,0
188228,12,1,0
9224,23,1,0
72128,9,1,0
219997,35,1,0
90485,9,3,2830
71367,12,1,0
92904,2,1,0
106110,3,1,0
60522,15,1,0
12562,35,1,0
147609,3,1,0
19800,2,1,0
108433,3,1,0
90743,8,1,0
117357,3,1,0
94119,21,1,0
83388,2,1,0
89242,3,1,0
25588,2,6,4211
58280,18,1,0
173029,2,1,0
90863,3,1,0
8615,15,2,2055
41282,18,1,0
73299,3,1,0
111805,15,1,0
84948,12,1,0
273712,5,1,0
213879,5,1,0
46349,1,1,0
270433,15,1,0
153793,3,1,0
232925,3,1,0
19651,18,1,0
96874,14,1,0
77628,3,1,0
246229,3,1,0
84196,2,1,0
76681,17,1,0
