ip,app,device,os,channel,click_time,is_attributed,click_date,duration_seconds,duration_minutes
119870,1,1,11,124,2017-11-07 12:16:34,0,2017-11-07,0,0.00
119870,2,1,19,212,2017-11-07 14:42:59,0,2017-11-07,8785,146.42
138815,23,1,13,153,2017-11-07 00:17:43,0,2017-11-07,0,0.00
111865,9,1,19,244,2017-11-07 03:16:23,0,2017-11-07,0,0.00
28578,26,1,19,121,2017-11-08 00:19:34,0,2017-11-08,0,0.00
73516,12,1,19,178,2017-11-06 16:11:15,0,2017-11-06,0,0.00
73516,28,1,19,135,2017-11-06 16:37:48,0,2017-11-06,1593,26.55
73516,1,1,19,134,2017-11-06 17:24:11,0,2017-11-06,2783,46.38
73516,12,1,19,259,2017-11-06 17:40:54,0,2017-11-06,1003,16.72
73516,2,1,15,477,2017-11-06 17:43:43,0,2017-11-06,169,2.82
73516,18,1,19,121,2017-11-06 17:58:26,0,2017-11-06,883,14.72
73516,3,1,19,153,2017-11-06 21:00:46,0,2017-11-06,10940,182.33
73516,2,1,16,477,2017-11-06 22:23:58,0,2017-11-06,4992,83.20
73516,18,1,13,107,2017-11-06 22:29:25,0,2017-11-06,327,5.45
73516,2,1,10,401,2017-11-06 22:33:18,0,2017-11-06,233,3.88
73516,12,1,19,326,2017-11-06 23:16:26,0,2017-11-06,2588,43.13
73516,18,1,22,134,2017-11-06 23:21:40,0,2017-11-06,314,5.23
73516,9,1,25,442,2017-11-06 23:23:36,0,2017-11-06,116,1.93
73516,2,2,8,477,2017-11-06 23:25:45,0,2017-11-06,129,2.15
73516,18,1,4,107,2017-11-06 23:41:08,0,2017-11-06,923,15.38
109696,3,1,15,424,2017-11-06 17:15:48,0,2017-11-06,0,0.00
35149,3,1,19,280,2017-11-09 05:54:42,0,2017-11-09,0,0.00
86291,3,1,13,466,2017-11-07 10:29:40,0,2017-11-07,0,0.00
86291,27,1,13,122,2017-11-07 12:59:57,0,2017-11-07,9017,150.28
39729,13,1,3,477,2017-11-09 15:54:42,0,2017-11-09,0,0.00
58466,3,1,13,371,2017-11-08 00:06:53,0,2017-11-08,0,0.00
58466,12,1,26,178,2017-11-08 08:28:58,0,2017-11-08,30125,502.08
115320,35,1,17,21,2017-11-06 16:11:00,1,2017-11-06,0,0.00
194278,12,1,19,265,2017-11-09 05:44:56,0,2017-11-09,0,0.00
114945,2,1,1,477,2017-11-07 01:06:19,0,2017-11-07,0,0.00
114945,3,1,25,137,2017-11-07 02:42:16,0,2017-11-07,5757,95.95
47337,9,2,6,244,2017-11-07 10:16:23,0,2017-11-07,0,0.00
47337,3,1,19,135,2017-11-07 14:25:06,0,2017-11-07,14923,248.72
47337,8,1,19,145,2017-11-07 14:32:27,0,2017-11-07,441,7.35
12505,20,2,65,259,2017-11-08 08:21:08,0,2017-11-08,0,0.00
12505,2,2,9,205,2017-11-08 10:49:09,0,2017-11-08,8881,148.02
12505,15,1,8,265,2017-11-08 11:31:34,0,2017-11-08,2545,42.42
12505,2,1,20,205,2017-11-08 14:28:18,0,2017-11-08,10604,176.73
12505,2,1,17,205,2017-11-08 14:38:26,0,2017-11-08,608,10.13
109915,19,0,50,343,2017-11-09 08:17:33,1,2017-11-09,0,0.00
16668,12,1,20,328,2017-11-08 12:31:51,0,2017-11-08,0,0.00
121916,15,1,19,245,2017-11-08 17:27:29,0,2017-11-08,0,0.00
186606,2,1,13,219,2017-11-09 13:44:42,0,2017-11-09,0,0.00
32432,23,1,13,153,2017-11-07 10:01:45,0,2017-11-07,0,0.00
