ip,total_clicks
10,1
31,1
45,1
59,1
61,1
85,1
104,1
108,1
117,1
127,1
147,1
169,1
177,1
178,1
212,1
226,1
231,1
235,1
284,1
301,1
315,1
344,1
346,1
387,1
392,1
403,1
413,1
444,1
466,1
468,1
472,1
480,1
501,1
502,1
509,1
514,1
519,1
531,1
540,1
554,1
556,1
573,1
594,1
648,1
658,1
676,1
679,1
681,1
686,1
707,1
738,1
742,1
758,1
763,1
769,1
770,1
783,1
793,1
794,1
799,1
807,1
814,1
837,1
847,1
911,1
924,1
944,1
947,1
960,1
1040,1
1070,1
1084,1
1097,1
1127,1
1165,1
1196,1
1197,1
1206,1
1268,1
1292,1
1314,1
1319,1
1334,1
1337,1
1343,1
1355,1
1360,1
1365,1
1372,1
1382,1
1414,1
1430,1
1433,1
1437,1
1438,1
1468,1
1471,1
1491,1
1503,1
1504,1
1543,1
1550,1
1577,1
1579,1
1610,1
1616,1
1626,1
1629,1
1634,1
1640,1
1655,1
1688,1
1693,1
1695,1
1700,1
1702,1
1713,1
1721,1
1762,1
1768,1
1780,1
1790,1
1798,1
1815,1
1831,1
1868,1
1944,1
1985,1
2022,1
2114,1
2127,1
2164,1
2176,1
2187,1
2201,1
2227,1
2239,1
2272,1
2277,1
2286,1
2293,1
2306,1
2336,1
2337,1
2343,1
2359,1
2385,1
2387,1
2388,1
2391,1
2404,1
2409,1
2420,1
2421,1
2437,1
2439,1
2441,1
2468,1
2471,1
2478,1
2488,1
2508,1
2509,1
2511,1
2513,1
2539,1
2563,1
2572,1
2585,1
2589,1
2596,1
2620,1
2631,1
2638,1
2647,1
2649,1
2656,1
2665,1
2677,1
2679,1
2693,1
2698,1
2720,1
2753,1
2761,1
2763,1
2821,1
2825,1
2827,1
2844,1
2849,1
2858,1
2869,1
2881,1
2886,1
2899,1
2907,1
2911,1
2919,1
2929,1
2938,1
2959,1
2962,1
2965,1
2970,1
2979,1
2982,1
3033,1
3038,1
3041,1
3045,1
3066,1
3073,1
3081,1
3091,1
3095,1
3101,1
3102,1
3106,1
3113,1
3131,1
3151,1
3157,1
3196,1
3219,1
3225,1
3253,1
3269,1
3294,1
3314,1
3317,1
3338,1
3341,1
3355,1
3359,1
3399,1
3403,1
3432,1
3436,1
3454,1
3471,1
3502,1
3505,1
3611,1
3634,1
3712,1
3719,1
3723,1
3743,1
3763,1
3766,1
3773,1
3774,1
3787,1
3788,1
3804,1
3843,1
3845,1
3870,1
3903,1
3905,1
3929,1
3941,1
3956,1
3957,1
3981,1
4015,1
4023,1
4107,1
4146,1
4173,1
4192,1
4205,1
4251,1
4264,1
4274,1
4280,1
4293,1
4296,1
4302,1
4305,1
4308,1
4322,1
4333,1
4334,1
4338,1
4356,1
4360,1
4367,1
4375,1
4407,1
4413,1
4427,1
4432,1
4434,1
4439,1
4457,1
4465,1
4468,1
4475,1
4476,1
4489,1
4496,1
4502,1
4516,1
4529,1
4540,1
4548,1
4559,1
4592,1
4613,1
4626,1
4666,1
4670,1
4678,1
4689,1
4690,1
4700,1
4724,1
4740,1
4745,1
4757,1
4777,1
4784,1
4787,1
4800,1
4825,1
4833,1
4862,1
4883,1
4930,1
4951,1
4963,1
4968,1
4988,1
5018,1
5061,1
5064,1
5065,1
5098,1
5128,1
5132,1
5146,1
5201,1
5220,1
5252,1
5270,1
5271,1
